id,from,to,priority,type,shape,name,spreadType
-142575708#1,cluster_1560592914_294165589_5072357893,5543924092,1,highway.service,"[1366.13, 2929.81]",Walther-Nernst-Straße,
-142575708#4,cluster_1560224280_499495781,cluster_1560592914_294165589_5072357893,1,highway.service,"[1370.73, 2870.54]",Walther-Nernst-Straße,
-142575709#0,7677100356,1294964098,3,highway.residential,"[731.81, 829.41]",Wilhelm-Ostwald-Straße,
-142575709#1,1560223649,7677100356,3,highway.residential,"[760.26, 847.2]",Wilhelm-Ostwald-Straße,
-142575710#0,cluster_1560225008_671564380,1560224635,3,highway.residential,"[749.3, 876.86]",Zum Großen Windkanal,
-142575710#2,5383645779,cluster_1560225008_671564380,3,highway.residential,"[1841.24, 756.78]",Zum Großen Windkanal,
-142575710#3,38918537,5383645779,3,highway.residential,"[1780.77, 712.78]",Zum Großen Windkanal,
-142575720#0,1599958758,cluster_1560224080_607684208,1,highway.service,"[1773.59, 709.14]",,
-142575720#1,1560223809,1599958758,1,highway.service,"[1862.79, 780.34]",,
-142575725#0,1599958746,1560223834,1,highway.service,"[1862.54, 776.09]",,
-142575725#3,1560223809,6658034503,1,highway.service,"[1861.65, 773.78]",,
-142575725#4,1560223789,1560223809,1,highway.service,"[1852.41, 948.19]",,
-142575726#0,1568241638,cluster_1560224193_5564694986,1,highway.service,"[1885.89, 909.69]",,
-142575731#0,1560224793,1560224493,1,highway.service,"[1893.96, 846.21]",,
-142575731#1,1560224932,1560224793,1,highway.service,"[1883.38, 814.4]",,
-142575737#0,1560223868,1560223910,1,highway.service,"[1862.34, 798.83]",,
-142575737#1,1560223807,1560223868,1,highway.service,"[1719.7, 805.51]",,
-142575737#2,cluster_1560223704_5548037056,1560223807,1,highway.service,"[1766.86, 869.79]",,
-142598710#0,1560592900,cluster_1560592914_294165589_5072357893,1,highway.service,"[1719.7, 805.51]",,
-142598713,1560592081,1560592094,1,highway.service,"[1713.08, 800.02]",,
-142598718,1560592622,1560592549,1,highway.service,"[553.76, 934.95]",Am Studio,
